alg,setting,num-taxa,gene-trees,replicate,sb,spmin,spmax,rf-rate,running-time-s,max-cpu-mb,max-gpu-mb,gt-gt,gt-st
astralx,search-mode_full,1000,1000,R1,0.000001,100000,200000,0.0040,11.671,2310.387,130.048,,
astralx,default,100,100,R1,0.000001,100000,200000,0.0412,1.366,272.051,33.792,,
astralx,search-mode_full,10,10,R1,0.000001,50000,1000000,0.2857,1.242,151.109,37.888,,
astralx,search-mode_local,10,10,R1,0.000001,50000,1000000,0.4286,1.220,149.805,106.496,,
astralx,search-mode_full,10,10,R2,0.000001,50000,1000000,0.0000,1.265,151.281,109.568,,
astralx,search-mode_local,10,10,R2,0.000001,50000,1000000,0.0000,1.255,153.957,44.032,,
astralx,search-mode_full,10,10,R3,0.000001,50000,1000000,0.1429,1.297,151.367,33.792,,
astralx,search-mode_local,10,10,R3,0.000001,50000,1000000,0.1429,1.320,150.246,33.792,,
astralx,search-mode_full,10,10,R4,0.000001,50000,1000000,0.2857,1.312,157.254,32.768,,
astralx,search-mode_local,10,10,R4,0.000001,50000,1000000,0.2857,1.346,155.461,32.768,,
astralx,search-mode_full,10,10,R5,0.000001,50000,1000000,0.1429,1.241,151.246,44.032,,
astralx,search-mode_local,10,10,R5,0.000001,50000,1000000,0.1429,1.295,150.199,32.768,,
astralx,search-mode_full,20,10,R1,0.000001,50000,1000000,0.3529,1.307,152.094,32.768,,
astralx,search-mode_local,20,10,R1,0.000001,50000,1000000,0.4118,1.302,150.641,32.768,,
astralx,search-mode_local,20,10,R2,0.000001,50000,1000000,0.0000,1.278,150.203,33.792,,
astralx,search-mode_full,30,20,R1,0.000001,100000,200000,0.0741,0.971,147.723,NA,,
astralx,search-mode_local,30,20,R1,0.000001,100000,200000,0.0741,1.416,148.652,NA,,
astralx,default,30,20,R1,0.000001,100000,200000,0.0741,0.874,146.430,NA,,
